CustomerID,FirstName,LastName,UrbanRural,Birthdate,StreetAddress,City,State,CountryCode,Zipcode,CreditScore,SignUpProgram
481,David S,Bonet,Urban,1986-02-21,2466 Oliver Street,Dallas,TX,US,75201,603.0,Bronze Member
450,William ,Allen,Urban,1986-01-11,2997 Lowndes Hill Park Road,Bakersfield,CA,US,93307,548.0,Sign Up Silver
476,Kathleen J,Pearson,*Missing*,1979-04-29,2137 Golden Ridge Road,East Glenville,NY,US,12302,463.0,Bronze Member
435,Carolin ,Gil,Urban,1996-06-02,3556 Cooks Mine Road,Espanola,NM,US,87532,729.0,Always Gold
369,Matthew ,Williams,Urban,1961-06-09,122 Morris Street,Pearsall,TX,US,78061,654.0,Sign Up Silver
56,Beverly E,Colvard,Urban,1945-05-28,3423 Goldcliff Circle,Washington,DC,US,20007,488.0,Silver Sign Up
323,Mercedes J,Seals,Urban,1963-03-21,4833 Turkey Pen Lane,Montgomery,AL,US,36104,576.0,Silver Sign Up
77,Earl K,Gibson,Urban,1939-03-04,1982 Buena Vista Avenue,Corvallis,OR,US,97330,782.0,Sign Up Bronzed
6,Giovanna B,Landry,Urban,1986-08-23,4189 Daylene Drive,Pontiac,MI,US,48342,516.0,Silver Sign Up
348,Judy E,Johnson,Urban,1955-04-29,1657 Hillside Street,Paradise Valley,AZ,US,85253,674.0,Gold Sign Up
416,Michelle C,Juarez,Urban,1957-10-29,4609 Virgil Street,Tallahassee,FL,US,32301,607.0,Bronze Member
221,Steve E,Shane,*Missing*,1938-08-11,2190 Gerald L. Bates Drive,Worcester,MA,US,1610,556.0,Bronze Member
118,Jeremy ,Levis,Urban,1984-08-06,2169 Tail Ends Road,Appleton,WI,US,54911,779.0,Sign Up gold
250,John J,Seim,Urban,1994-01-17,31 Hillcrest Lane,Sherman Oaks,CA,US,91403,777.0,Always Gold
174,Eve R,Spears,Urban,,2933 College Street,Norcross,GA,US,30093,617.0,silver from the StartBronze Sign Up
94,Jesse N,Bailey,Rural,1976-01-03,4066 North Bend River Road,Irvine,KY,US,40336,666.0,Silver Sign Up
326,Scott M,Waldon,Urban,1980-06-28,4354 Conifer Drive,Bellevue,WA,US,98007,642.0,Bronze Member
276,Christopher S,Beaudette,Urban,1942-11-11,3228 McDonald Avenue,Altamonte Springs,FL,US,32714,692.0,Gold Sign Up
343,Juan K,Cummings,Urban,,281 Morris Street,San Antonio,TX,US,78212,737.0,Sign Up Bronzed
