CustomerID,FirstName,LastName,UrbanRural,Birthdate,StreetAddress,City,State,CountryCode,Zipcode,CreditScore,SignUpProgram,MiddleInitial,SignUpProgramClean,urban_rural_alt,UrbanRural_cat,UrbanRural_renamed
481,David,Bonet,Urban,1986-02-21,2466 Oliver Street,Dallas,TX,US,75201,603.0,Bronze Member,S,Bronze,City Folk,Urban,City
450,William,Allen,Urban,1986-01-11,2997 Lowndes Hill Park Road,Bakersfield,CA,US,93307,548.0,Sign Up Silver,,Silver,City Folk,Urban,City
476,Kathleen,Pearson,*Missing*,1979-04-29,2137 Golden Ridge Road,East Glenville,NY,US,12302,463.0,Bronze Member,J,Bronze,*Missing*,,
435,Carolin,Gil,Urban,1996-06-02,3556 Cooks Mine Road,Espanola,NM,US,87532,729.0,Always Gold,,Gold,City Folk,Urban,City
369,Matthew,Williams,Urban,1961-06-09,122 Morris Street,Pearsall,TX,US,78061,654.0,Sign Up Silver,,Silver,City Folk,Urban,City
56,Beverly,Colvard,Urban,1945-05-28,3423 Goldcliff Circle,Washington,DC,US,20007,488.0,Silver Sign Up,E,Silver,City Folk,Urban,City
323,Mercedes,Seals,Urban,1963-03-21,4833 Turkey Pen Lane,Montgomery,AL,US,36104,576.0,Silver Sign Up,J,Silver,City Folk,Urban,City
77,Earl,Gibson,Urban,1939-03-04,1982 Buena Vista Avenue,Corvallis,OR,US,97330,782.0,Sign Up Bronzed,K,Bronze,City Folk,Urban,City
6,Giovanna,Landry,Urban,1986-08-23,4189 Daylene Drive,Pontiac,MI,US,48342,516.0,Silver Sign Up,B,Silver,City Folk,Urban,City
348,Judy,Johnson,Urban,1955-04-29,1657 Hillside Street,Paradise Valley,AZ,US,85253,674.0,Gold Sign Up,E,Gold,City Folk,Urban,City
416,Michelle,Juarez,Urban,1957-10-29,4609 Virgil Street,Tallahassee,FL,US,32301,607.0,Bronze Member,C,Bronze,City Folk,Urban,City
221,Steve,Shane,*Missing*,1938-08-11,2190 Gerald L. Bates Drive,Worcester,MA,US,1610,556.0,Bronze Member,E,Bronze,*Missing*,,
118,Jeremy,Levis,Urban,1984-08-06,2169 Tail Ends Road,Appleton,WI,US,54911,779.0,Sign Up gold,,Gold,City Folk,Urban,City
250,John,Seim,Urban,1994-01-17,31 Hillcrest Lane,Sherman Oaks,CA,US,91403,777.0,Always Gold,J,Gold,City Folk,Urban,City
174,Eve,Spears,Urban,,2933 College Street,Norcross,GA,US,30093,617.0,silver from the StartBronze Sign Up,R,Silver,City Folk,Urban,City
94,Jesse,Bailey,Rural,1976-01-03,4066 North Bend River Road,Irvine,KY,US,40336,666.0,Silver Sign Up,N,Silver,Rural,Rural,Outlying Areas
326,Scott,Waldon,Urban,1980-06-28,4354 Conifer Drive,Bellevue,WA,US,98007,642.0,Bronze Member,M,Bronze,City Folk,Urban,City
276,Christopher,Beaudette,Urban,1942-11-11,3228 McDonald Avenue,Altamonte Springs,FL,US,32714,692.0,Gold Sign Up,S,Gold,City Folk,Urban,City
343,Juan,Cummings,Urban,,281 Morris Street,San Antonio,TX,US,78212,737.0,Sign Up Bronzed,K,Bronze,City Folk,Urban,City
71,David,Williams,Rural,1958-09-28,1868 Spirit Drive,White Springs,FL,US,32096,769.0,Always Gold,D,Gold,Rural,Rural,Outlying Areas
7,Sara,Kozak,Urban,1998-12-01,4305 Oakdale Avenue,Plant City,FL,US,33566,559.0,bronze from the beg,M,Bronze,City Folk,Urban,City
10,Jarrod,Knight,*Missing*,1955-01-31,3668 Newton Street,Lowry,MN,US,56349,657.0,Silver Sign Up,T,Silver,*Missing*,,
